Location,Period,Financial Row,Amount,Budget Amount,Amount Over Budget
Head Office,2025-10-01,Operating Profit,86129.84,84311.73,1822.99
HEAD OFFICE,2025-10-01,Total - 5005 - Direct Staff  Cost,85995.06,81338.8,4653.53
Head Office,2025-10-01,5025 - Agency Staff,18506.85,16318.4,2192.45
Head Office,2025-10-01,Total - Overheads,75798.76,75176.4,625.36
Head Office,2025-11-01,Total - Sales,8545.29,9094.19,-546.08
HEAD OFFICE,2025-11-01,Operating Profit,67762.5,67167.08,598.31
Head Office,2025-11-01,Total - 5005 - Direct Staff  Cost,30594.03,34275.39,-3682.4
Head Office,2025-11-01,5025 - Agency Staff,36723.43,43286.6,-6566.47
Head Office,2025-11-01,Total - Overheads,12306.41,10589.18,1720.3
Head Office,2025-12-01,Total - Sales,14009.51,15839.21,-1828.13
HEAD OFFICE,2025-12-01,Operating Profit,32186.27,32812.74,-631.33
Head Office,2025-12-01,Total - 5005 - Direct Staff  Cost,87409.23,92642.41,-5228.84
Head Office,2025-12-01,5025 - Agency Staff,39609.04,45498.79,-5892.64
HEAD OFFICE,2025-12-01,Total - Overheads,23413.3,21474.37,1939.79
Shrewsbury High School,2025-01-01,Total - Sales,24083.47,23303.29,784.28
SHREWSBURY HIGH SCHOOL,2025-01-01,Operating Profit,32486.78,31943.09,547.73
SHREWSBURY HIGH SCHOOL,2025-01-01,Total - 5005 - Direct Staff  Cost,38435.92,44858.12,-6421.88
Shrewsbury High School,2025-01-01,5025 - Agency Staff,47592.09,38429.75,9159.17
Shrewsbury High School,2025-01-01,Total - Overheads,1349.99,1511.54,-161.82
Shrewsbury High School,2025-02-01,Total - Sales,65542.2,67022.81,-1480.43
Shrewsbury High School,2025-02-01,Operating Profit,50434.33,56169.17,-5734.24
SHREWSBURY HIGH SCHOOL,2025-02-01,Total - 5005 - Direct Staff  Cost,23115.99,21053.28,2062.79
SHREWSBURY HIGH SCHOOL,2025-02-01,5025 - Agency Staff,50993.92,56297.15,-5303.8
SHREWSBURY HIGH SCHOOL,2025-02-01,Total - Overheads,55514.98,55638.29,-121.38
Shrewsbury High School,2025-03-01,Total - Sales,41258.78,41808.11,-544.91
SHREWSBURY HIGH SCHOOL,2025-03-01,Operating Profit,63230.39,72753.78,-9525.79
SHREWSBURY HIGH SCHOOL,2025-03-01,Total - 5005 - Direct Staff  Cost,50796.73,59803.34,-9010.24
Shrewsbury High School,2025-03-01,5025 - Agency Staff,11824.35,11550.58,271.18
SHREWSBURY HIGH SCHOOL,2025-03-01,Total - Overheads,7507.75,8016.69,-504.97
SHREWSBURY HIGH SCHOOL,2025-04-01,Total - Sales,14745.75,16020.49,-1278.31
Shrewsbury High School,2025-04-01,Operating Profit,79572.12,94453.53,-14876.88
SHREWSBURY HIGH SCHOOL,2025-04-01,Total - 5005 - Direct Staff  Cost,36444.86,36259.15,189.03
SHREWSBURY HIGH SCHOOL,2025-04-01,5025 - Agency Staff,15370.48,14949.46,419.41
SHREWSBURY HIGH SCHOOL,2025-04-01,Total - Overheads,18421.28,17084.08,1332.39
Shrewsbury High School,2025-05-01,Total - Sales,50310.47,49112.24,1196.54
Shrewsbury High School,2025-05-01,Operating Profit,56529.51,56806.78,-272.42
Shrewsbury High School,2025-05-01,Total - 5005 - Direct Staff  Cost,71164.31,84591.48,-13429.51
Shrewsbury High School,2025-05-01,5025 - Agency Staff,4523.35,5028.15,-508.5
SHREWSBURY HIGH SCHOOL,2025-05-01,Total - Overheads,38580.62,44929.66,-6351.45
SHREWSBURY HIGH SCHOOL,2025-06-01,Total - Sales,14293.75,16690.36,-2394.61
SHREWSBURY HIGH SCHOOL,2025-06-01,Operating Profit,8962.14,7375.94,1585.45
SHREWSBURY HIGH SCHOOL,2025-06-01,Total - 5005 - Direct Staff  Cost,7444.85,8750.23,-1302.36
Shrewsbury High School,2025-06-01,5025 - Agency Staff,8453.08,9657.57,-1200.86
SHREWSBURY HIGH SCHOOL,2025-06-01,Total - Overheads,41385.84,38723.1,2667.01
SHREWSBURY HIGH SCHOOL,2025-07-01,Total - Sales,24839.52,21155.57,3681.33
Shrewsbury High School,2025-07-01,Operating Profit,10741.18,9286.61,1451.59
SHREWSBURY HIGH SCHOOL,2025-07-01,Total - 5005 - Direct Staff  Cost,28767.32,26523.53,2241.69
Shrewsbury High School,2025-07-01,5025 - Agency Staff,45507.89,39644.65,5858.42
SHREWSBURY HIGH SCHOOL,2025-07-01,Total - Overheads,23289.94,18774.92,4515.53
SHREWSBURY HIGH SCHOOL,2025-08-01,Total - Sales,17861.63,17681.3,176.39
Shrewsbury High School,2025-08-01,Operating Profit,73883.89,71879.5,2007.74
SHREWSBURY HIGH SCHOOL,2025-08-01,Total - 5005 - Direct Staff  Cost,35984.66,36080.9,-91.42
SHREWSBURY HIGH SCHOOL,2025-08-01,5025 - Agency Staff,31500.71,35687.61,-4185.54
Shrewsbury High School,2025-08-01,Total - Overheads,37018.1,34760.77,2253.63
Shrewsbury High School,2025-09-01,Total - Sales,7294.33,7997.18,-706.22
SHREWSBURY HIGH SCHOOL,2025-09-01,Operating Profit,8519.15,9682.08,-1161.22
Shrewsbury High School,2025-09-01,Total - 5005 - Direct Staff  Cost,26092.06,23401.58,2690.07
Shrewsbury High School,2025-09-01,5025 - Agency Staff,15020.43,14694.93,330.12
Shrewsbury High School,2025-09-01,Total - Overheads,87563.45,89212.21,-1644.1
Shrewsbury High School,2025-10-01,Total - Sales,28549.76,26911.96,1636.62
Shrewsbury High School,2025-10-01,Operating Profit,43243.28,43291.09,-47.76
Shrewsbury High School,2025-10-01,Total - 5005 - Direct Staff  Cost,1440.6,1304.7,134.9
Shrewsbury High School,2025-10-01,5025 - Agency Staff,4708.36,3809.05,896.64
SHREWSBURY HIGH SCHOOL,2025-10-01,Total - Overheads,53116.91,53737.09,-618.6
Shrewsbury High School,2025-11-01,Total - Sales,64723.42,74537.84,-9816.16
SHREWSBURY HIGH SCHOOL,2025-11-01,Operating Profit,88640.89,76212.13,12430.19
SHREWSBURY HIGH SCHOOL,2025-11-01,Total - 5005 - Direct Staff  Cost,4897.14,5553.92,-655.51
Shrewsbury High School,2025-11-01,5025 - Agency Staff,66312.84,74594.49,-8281.41
SHREWSBURY HIGH SCHOOL,2025-11-01,Total - Overheads,45889.02,52037.0,-6144.72
SHREWSBURY HIGH SCHOOL,2025-12-01,Total - Sales,52981.47,61306.55,-8323.15
Shrewsbury High School,2025-12-01,Operating Profit,21464.72,17439.32,4024.01
SHREWSBURY HIGH SCHOOL,2025-12-01,Total - 5005 - Direct Staff  Cost,10337.57,11726.2,-1387.35
Shrewsbury High School,2025-12-01,5025 - Agency Staff,56734.15,60834.08,-4104.9
SHREWSBURY HIGH SCHOOL,2025-12-01,Total - Overheads,71995.08,79144.63,-7149.2
Eaton End School,2025-01-01,Total - Sales,59677.65,49318.81,10356.36
Eaton End School,2025-01-01,Operating Profit,7626.05,6910.9,712.2
Eaton End,2025-01-01,Total - 5005 - Direct Staff  Cost,66844.74,79564.9,-12721.33
Eaton End School,2025-01-01,5025 - Agency Staff,43631.9,46837.91,-3204.84
Eaton End,2025-01-01,Total - Overheads,58205.9,48368.45,9834.99
Eaton End School,2025-02-01,Total - Sales,67146.34,61893.27,5248.19
Eaton End School,2025-02-01,Operating Profit,6398.83,5807.0,593.75
Eaton End School,2025-02-01,Total - 5005 - Direct Staff  Cost,61137.98,56023.34,5114.29
Eaton End School,2025-02-01,5025 - Agency Staff,42504.18,36018.09,6483.08
Eaton End,2025-02-01,Total - Overheads,88053.19,103418.62,-15365.84
Eaton End,2025-03-01,Total - Sales,73970.89,87821.44,-13852.86
Eaton End,2025-03-01,Operating Profit,19675.51,23182.37,-3506.05
Eaton End School,2025-03-01,Total - 5005 - Direct Staff  Cost,13614.92,13745.98,-134.73
Eaton End School,2025-03-01,5025 - Agency Staff,73999.31,74258.14,-256.8
Eaton End,2025-03-01,Total - Overheads,21593.14,25028.23,-3439.84
Eaton End,2025-04-01,Total - Sales,1319.55,1315.17,2.4
Eaton End,2025-04-01,Operating Profit,13522.94,12678.89,847.45
Eaton End School,2025-04-01,Total - 5005 - Direct Staff  Cost,1154.98,1270.82,-119.64
Eaton End School,2025-04-01,5025 - Agency Staff,83449.5,90560.18,-7112.78
Eaton End School,2025-04-01,Total - Overheads,34127.76,32665.72,1462.93
Eaton End,2025-05-01,Total - Sales,33103.13,32150.46,948.15
Eaton End,2025-05-01,Operating Profit,10052.18,11397.87,-1341.33
Eaton End School,2025-05-01,Total - 5005 - Direct Staff  Cost,23189.9,21016.8,2170.0
Eaton End School,2025-05-01,5025 - Agency Staff,34228.09,40473.56,-6242.35
Eaton End School,2025-05-01,Total - Overheads,57149.73,66600.56,-9450.34
Eaton End School,2025-06-01,Total - Sales,65041.96,53320.78,11720.69
Eaton End,2025-06-01,Operating Profit,67987.45,71916.87,-3933.93
Eaton End,2025-06-01,Total - 5005 - Direct Staff  Cost,83483.16,71037.87,12443.73
Eaton End School,2025-06-01,5025 - Agency Staff,27501.7,30131.22,-2631.92
Eaton End School,2025-06-01,Total - Overheads,59383.58,54652.76,4729.76
Eaton End,2025-07-01,Total - Sales,15892.59,13741.73,2154.92
Eaton End School,2025-07-01,Operating Profit,45239.74,40173.35,5071.35
Eaton End,2025-07-01,Total - 5005 - Direct Staff  Cost,41046.48,35129.15,5913.24
Eaton End,2025-07-01,5025 - Agency Staff,31434.02,26292.6,5139.0
Eaton End School,2025-07-01,Total - Overheads,51695.98,59703.72,-8008.61
Eaton End,2025-08-01,Total - Sales,37835.64,38201.41,-367.39
Eaton End School,2025-08-01,Operating Profit,6523.3,5942.77,576.79
Eaton End School,2025-08-01,Total - 5005 - Direct Staff  Cost,45802.22,48177.1,-2377.72
Eaton End,2025-08-01,5025 - Agency Staff,25120.86,22593.24,2527.08
Eaton End School,2025-08-01,Total - Overheads,85900.98,97881.89,-11985.69
Eaton End School,2025-09-01,Total - Sales,3869.67,4193.97,-324.57
Eaton End,2025-09-01,Operating Profit,53258.71,42610.77,10652.21
Eaton End School,2025-09-01,Total - 5005 - Direct Staff  Cost,74477.44,85067.02,-10592.1
Eaton End School,2025-09-01,5025 - Agency Staff,10705.09,9225.13,1481.78
Eaton End School,2025-09-01,Total - Overheads,84792.66,92313.27,-7517.96
Eaton End,2025-10-01,Total - Sales,41701.93,42561.01,-856.26
Eaton End School,2025-10-01,Operating Profit,21699.34,25344.14,-3646.76
Eaton End School,2025-10-01,Total - 5005 - Direct Staff  Cost,12389.05,11159.04,1232.0
Eaton End School,2025-10-01,5025 - Agency Staff,10979.81,9092.83,1887.81
Eaton End School,2025-10-01,Total - Overheads,35539.29,31609.82,3924.57
Eaton End School,2025-11-01,Total - Sales,27835.4,27397.72,439.13
Eaton End,2025-11-01,Operating Profit,79655.89,78869.02,784.34
Eaton End,2025-11-01,Total - 5005 - Direct Staff  Cost,86494.67,93575.25,-7085.36
Eaton End,2025-11-01,5025 - Agency Staff,45349.61,48514.35,-3167.17
Eaton End,2025-11-01,Total - Overheads,60394.6,70665.57,-10275.63
Eaton End School,2025-12-01,Total - Sales,31086.59,30098.74,984.83
Eaton End School,2025-12-01,Operating Profit,71938.72,78819.78,-6884.01
Eaton End School,2025-12-01,Total - 5005 - Direct Staff  Cost,87317.43,80741.23,6573.51
Eaton End,2025-12-01,5025 - Agency Staff,20708.41,22865.98,-2153.05
Eaton End,2025-12-01,Total - Overheads,45123.06,39479.31,5642.92
Northwood Prep,2025-01-01,Total - Sales,60211.19,71019.37,-10809.25
Northwood Prep,2025-01-01,Operating Profit,19952.47,23736.41,-3788.42
Northwood Prep,2025-01-01,Total - 5005 - Direct Staff  Cost,6352.04,6080.99,274.89
Northwood Prep,2025-01-01,5025 - Agency Staff,66212.42,79389.48,-13178.77
Northwood Prep,2025-01-01,Total - Overheads,17510.58,20563.6,-3057.7
Northwood Prep,2025-02-01,Total - Sales,60134.26,57214.61,2917.97
Northwood Prep,2025-02-01,Operating Profit,16064.22,12869.82,3192.91
Northwood Prep,2025-02-01,Total - 5005 - Direct Staff  Cost,86040.82,73090.24,12947.65
Northwood Prep,2025-02-01,5025 - Agency Staff,32740.0,36951.33,-4212.01
Northwood Prep,2025-02-01,Total - Overheads,5383.9,5326.75,61.35
Northwood Prep,2025-03-01,Total - Sales,18179.33,17192.18,982.45
Northwood Prep,2025-03-01,Operating Profit,37561.36,42246.38,-4689.61
Northwood Prep,2025-03-01,Total - 5005 - Direct Staff  Cost,4102.04,3384.31,715.3
Northwood Prep,2025-03-01,5025 - Agency Staff,67508.53,78270.79,-10764.54
Northwood Prep,2025-03-01,Total - Overheads,86234.37,90269.4,-4032.86
Northwood Prep,2025-04-01,Total - Sales,29167.04,26549.36,2620.24
Northwood Prep,2025-04-01,Operating Profit,82564.9,86989.72,-4429.58
Northwood Prep,2025-04-01,Total - 5005 - Direct Staff  Cost,21814.1,21597.61,221.03
Northwood Prep,2025-04-01,5025 - Agency Staff,35399.82,31874.66,3525.09
Northwood Prep,2025-04-01,Total - Overheads,83600.85,72998.23,10605.0
Northwood Prep,2025-05-01,Total - Sales,74225.22,82324.95,-8101.45
Northwood Prep,2025-05-01,Operating Profit,29439.84,27813.09,1622.54
Northwood Prep,2025-05-01,Total - 5005 - Direct Staff  Cost,18560.75,20438.25,-1881.85
Northwood Prep,2025-05-01,5025 - Agency Staff,4013.87,4098.31,-79.64
Northwood Prep,2025-05-01,Total - Overheads,79629.24,95167.26,-15542.18
Northwood Prep,2025-06-01,Total - Sales,9581.61,9575.77,5.31
Northwood Prep,2025-06-01,Operating Profit,21843.47,21116.87,728.34
Northwood Prep,2025-06-01,Total - 5005 - Direct Staff  Cost,67569.96,76948.32,-9382.15
Northwood Prep,2025-06-01,5025 - Agency Staff,75837.54,69581.92,6254.35
Northwood Prep,2025-06-01,Total - Overheads,66688.0,58663.84,8021.61
Northwood Prep,2025-07-01,Total - Sales,14645.68,16896.24,-2252.3
Northwood Prep,2025-07-01,Operating Profit,36250.19,43390.73,-7143.23
Northwood Prep,2025-07-01,Total - 5005 - Direct Staff  Cost,72951.42,77425.58,-4478.14
Northwood Prep,2025-07-01,5025 - Agency Staff,43253.89,48774.86,-5516.83
Northwood Prep,2025-07-01,Total - Overheads,4592.21,4213.22,375.89
Northwood Prep,2025-08-01,Total - Sales,87593.9,90508.81,-2916.19
Northwood Prep,2025-08-01,Operating Profit,78085.33,76495.95,1592.16
Northwood Prep,2025-08-01,Total - 5005 - Direct Staff  Cost,85167.49,71737.6,13431.09
Northwood Prep,2025-08-01,5025 - Agency Staff,20370.44,19300.65,1066.83
Northwood Prep,2025-08-01,Total - Overheads,23687.32,24629.35,-945.0
Northwood Prep,2025-09-01,Total - Sales,2012.81,1873.72,135.94
Northwood Prep,2025-09-01,Operating Profit,28785.42,25370.41,3415.49
Northwood Prep,2025-09-01,Total - 5005 - Direct Staff  Cost,6631.13,5573.83,1057.8
Northwood Prep,2025-09-01,5025 - Agency Staff,57887.19,48420.38,9468.76
Northwood Prep,2025-09-01,Total - Overheads,37471.21,34223.22,3252.52
Northwood Prep,2025-10-01,Total - Sales,28800.21,29566.53,-767.16
Northwood Prep,2025-10-01,Operating Profit,77917.93,93396.18,-15481.28
Northwood Prep,2025-10-01,Total - 5005 - Direct Staff  Cost,65794.82,57995.95,7802.89
Northwood Prep,2025-10-01,5025 - Agency Staff,38714.18,43675.3,-4957.29
Northwood Prep,2025-10-01,Total - Overheads,42020.65,36348.61,5672.56
Northwood Prep,2025-11-01,Total - Sales,58019.34,67529.74,-9509.18
Northwood Prep,2025-11-01,Operating Profit,34005.08,34065.79,-62.88
Northwood Prep,2025-11-01,Total - 5005 - Direct Staff  Cost,47383.14,55447.75,-8064.7
Northwood Prep,2025-11-01,5025 - Agency Staff,72628.41,86191.8,-13567.12
Northwood Prep,2025-11-01,Total - Overheads,84933.74,101089.72,-16160.45
Northwood Prep,2025-12-01,Total - Sales,83428.94,79687.83,3742.31
Northwood Prep,2025-12-01,Operating Profit,74385.46,64277.25,10105.43
Northwood Prep,2025-12-01,Total - 5005 - Direct Staff  Cost,36999.13,42125.01,-5129.05
Northwood Prep,2025-12-01,5025 - Agency Staff,20414.18,19595.54,817.48
Northwood Prep,2025-12-01,Total - Overheads,11952.05,10742.78,1213.24
Riverside Academy,2025-01-01,Total - Sales,4657.81,4773.96,-120.77
Riverside Academy,2025-01-01,Operating Profit,75600.18,64040.34,11560.34
Riverside Academy,2025-01-01,Total - 5005 - Direct Staff  Cost,56806.78,52403.44,4404.17
Riverside Academy,2025-01-01,5025 - Agency Staff,38890.85,41361.86,-2471.63
Riverside Academy,2025-01-01,Total - Overheads,3080.4,3226.89,-149.14
Riverside Academy,2025-02-01,Total - Sales,68957.3,76679.83,-7725.73
Riverside Academy,2025-02-01,Operating Profit,43116.48,36339.88,6775.91
Riverside Academy,2025-02-01,Total - 5005 - Direct Staff  Cost,9162.47,8949.78,208.1
Riverside Academy,2025-02-01,5025 - Agency Staff,57642.89,48010.56,9635.11
Riverside Academy,2025-02-01,Total - Overheads,46521.87,38227.3,8293.35
Riverside Academy,2025-03-01,Total - Sales,85627.25,73166.28,12465.93
Riverside Academy,2025-03-01,Operating Profit,66155.51,74490.83,-8330.5
Riverside Academy,2025-03-01,Total - 5005 - Direct Staff  Cost,44776.43,52955.1,-8182.02
Riverside Academy,2025-03-01,5025 - Agency Staff,71165.96,83423.11,-12258.64
Riverside Academy,2025-03-01,Total - Overheads,68300.0,58977.53,9320.22
Riverside Academy,2025-04-01,Total - Sales,73590.77,63098.85,10496.12
Riverside Academy,2025-04-01,Operating Profit,19540.78,17687.28,1851.69
Riverside Academy,2025-04-01,Total - 5005 - Direct Staff  Cost,4278.14,3734.13,548.37
Riverside Academy,2025-04-01,5025 - Agency Staff,61491.52,71217.34,-9722.97
Riverside Academy,2025-04-01,Total - Overheads,11242.0,11380.15,-139.55
Riverside Academy,2025-05-01,Total - Sales,78692.74,80429.65,-1733.08
Riverside Academy,2025-05-01,Operating Profit,10310.18,12343.16,-2034.04
Riverside Academy,2025-05-01,Total - 5005 - Direct Staff  Cost,71992.68,65218.29,6775.16
Riverside Academy,2025-05-01,5025 - Agency Staff,33062.37,36562.21,-3503.07
Riverside Academy,2025-05-01,Total - Overheads,67179.93,55041.63,12135.84
Riverside Academy,2025-06-01,Total - Sales,57892.17,69101.37,-11207.56
Riverside Academy,2025-06-01,Operating Profit,28825.74,23081.24,5740.99
Riverside Academy,2025-06-01,Total - 5005 - Direct Staff  Cost,55828.63,54315.29,1517.3
Riverside Academy,2025-06-01,5025 - Agency Staff,12750.07,11359.09,1386.2
Riverside Academy,2025-06-01,Total - Overheads,1232.78,1161.26,70.09
Riverside Academy,2025-07-01,Total - Sales,20959.05,21659.84,-703.75
Riverside Academy,2025-07-01,Operating Profit,56529.73,55962.21,571.89
Riverside Academy,2025-07-01,Total - 5005 - Direct Staff  Cost,22679.36,19498.02,3182.72
Riverside Academy,2025-07-01,5025 - Agency Staff,78544.42,87409.14,-8867.08
Riverside Academy,2025-07-01,Total - Overheads,2023.15,2140.45,-118.8
Riverside Academy,2025-08-01,Total - Sales,58458.76,57143.54,1317.56
Riverside Academy,2025-08-01,Operating Profit,23116.23,26847.22,-3730.67
Riverside Academy,2025-08-01,Total - 5005 - Direct Staff  Cost,37133.0,33236.54,3899.25
Riverside Academy,2025-08-01,5025 - Agency Staff,2099.16,2141.92,-46.34
Riverside Academy,2025-08-01,Total - Overheads,18757.13,19568.06,-809.51
Riverside Academy,2025-09-01,Total - Sales,73390.89,63839.49,9549.4
Riverside Academy,2025-09-01,Operating Profit,5315.68,6143.55,-825.72
Riverside Academy,2025-09-01,Total - 5005 - Direct Staff  Cost,1565.1,1780.73,-215.98
Riverside Academy,2025-09-01,5025 - Agency Staff,67016.19,65742.54,1269.7
Riverside Academy,2025-09-01,Total - Overheads,21674.41,17676.07,4000.84
Riverside Academy,2025-10-01,Total - Sales,62864.72,71548.43,-8686.05
Riverside Academy,2025-10-01,Operating Profit,50287.11,49000.82,1286.52
Riverside Academy,2025-10-01,Total - 5005 - Direct Staff  Cost,24611.37,26009.33,-1400.79
Riverside Academy,2025-10-01,5025 - Agency Staff,79324.02,63942.39,15378.99
Riverside Academy,2025-10-01,Total - Overheads,67205.2,79159.6,-11956.13
Riverside Academy,2025-11-01,Total - Sales,79334.67,73894.02,5444.73
Riverside Academy,2025-11-01,Operating Profit,57131.95,61538.95,-4402.21
Riverside Academy,2025-11-01,Total - 5005 - Direct Staff  Cost,42784.87,48598.67,-5810.22
Riverside Academy,2025-11-01,5025 - Agency Staff,39912.05,43498.12,-3587.99
Riverside Academy,2025-11-01,Total - Overheads,19864.98,20839.33,-970.24
Riverside Academy,2025-12-01,Total - Sales,13868.95,11244.4,2628.84
Riverside Academy,2025-12-01,Operating Profit,31692.87,27152.44,4535.85
Riverside Academy,2025-12-01,Total - 5005 - Direct Staff  Cost,62643.64,65998.29,-3352.28
Riverside Academy,2025-12-01,5025 - Agency Staff,6853.11,7101.12,-244.83
Riverside Academy,2025-12-01,Total - Overheads,73941.14,85513.82,-11569.0
Total,2025-01-01,Total - Sales,999999,999999,0
,2025-02-01,Total - Sales,5,5,0
