Location,Period,Financial Row,Amount,Budget Amount,Amount Over Budget
Riverside Academy,2025-11-01,Total - Overheads,43018.38,45137.19,-2118.81
Riverside Academy,2025-09-01,Total - Overheads,35178.59,29985.67,5192.92
SHREWSBURY HIGH SCHOOL,2025-10-01,5025 - Agency Staff,28935.15,26182.51,2752.64
Riverside Academy,2025-09-01,5025 - Agency Staff,47444.86,48368.49,-923.63
Eaton End,2025-11-01,Operating Profit,44928.21,47553.19,-2624.98
HEAD OFFICE,2025-05-01,Total - 5005 - Direct Staff  Cost,32627.11,35865.38,-3238.27
Riverside Academy,2025-06-01,Total - Overheads,24355.11,21544.95,2810.16
SHREWSBURY HIGH SCHOOL,2025-09-01,Operating Profit,31047.48,27874.51,3172.97
Riverside Academy,2025-12-01,5025 - Agency Staff,21477.55,20665.19,812.36
Northwood Prep,2025-06-01,Total - 5005 - Direct Staff  Cost,33460.22,32140.84,1319.38
Shrewsbury High School,2025-05-01,5025 - Agency Staff,18174.76,18481.8,-307.04
HEAD OFFICE,2025-08-01,Operating Profit,40494.0,43668.46,-3174.46
HEAD OFFICE,2025-06-01,Total - 5005 - Direct Staff  Cost,23184.19,21226.92,1957.27
Eaton End,2025-04-01,5025 - Agency Staff,69908.66,79675.96,-9767.3
Northwood Prep,2025-08-01,5025 - Agency Staff,32640.8,33257.62,-616.82
SHREWSBURY HIGH SCHOOL,2025-01-01,Total - Overheads,24510.33,24471.59,38.74
HEAD OFFICE,2025-06-01,5025 - Agency Staff,33310.46,34749.82,-1439.36
HEAD OFFICE,2025-01-01,Operating Profit,42457.89,37442.91,5014.98
Head Office,2025-06-01,Total - Sales,19393.56,18656.01,737.55
SHREWSBURY HIGH SCHOOL,2025-05-01,Total - 5005 - Direct Staff  Cost,31876.41,36596.77,-4720.36
Eaton End School,2025-04-01,Total - Overheads,46490.58,43720.32,2770.26
Eaton End,2025-01-01,5025 - Agency Staff,72127.45,76501.52,-4374.07
Shrewsbury High School,2025-04-01,Operating Profit,18903.51,20474.14,-1570.63
Head Office,2025-06-01,Total - Overheads,35846.03,32003.53,3842.5
Shrewsbury High School,2025-08-01,Operating Profit,13221.86,14523.23,-1301.37
SHREWSBURY HIGH SCHOOL,2025-07-01,Total - Overheads,20812.79,19029.42,1783.37
Head Office,2025-05-01,Total - Sales,39890.29,37282.99,2607.3
Northwood Prep,2025-12-01,Operating Profit,18357.11,16065.66,2291.45
SHREWSBURY HIGH SCHOOL,2025-12-01,Total - Overheads,29989.85,29742.1,247.75
Eaton End School,2025-05-01,5025 - Agency Staff,50709.68,50588.91,120.77
HEAD OFFICE,2025-07-01,Total - Overheads,19771.7,21992.04,-2220.34
Eaton End School,2025-05-01,Total - Overheads,58313.04,64083.66,-5770.62
Riverside Academy,2025-08-01,5025 - Agency Staff,21752.43,20981.37,771.06
Eaton End,2025-06-01,Total - 5005 - Direct Staff  Cost,44269.55,39050.61,5218.94
Eaton End,2025-03-01,Operating Profit,31050.76,27840.95,3209.81
Northwood Prep,2025-04-01,Total - Sales,33639.17,35126.43,-1487.26
Eaton End School,2025-09-01,Operating Profit,58015.23,49476.78,8538.45
HEAD OFFICE,2025-10-01,Total - Sales,26621.43,29023.79,-2402.36
Shrewsbury High School,2025-04-01,Total - 5005 - Direct Staff  Cost,18032.59,19019.7,-987.11
Northwood Prep,2025-07-01,5025 - Agency Staff,31910.3,28542.8,3367.5
Riverside Academy,2025-05-01,Total - Sales,28351.3,25219.86,3131.44
Northwood Prep,2025-08-01,Total - Sales,28110.27,30961.09,-2850.82
Northwood Prep,2025-01-01,Total - 5005 - Direct Staff  Cost,24612.39,26354.37,-1741.98
SHREWSBURY HIGH SCHOOL,2025-11-01,Operating Profit,19252.46,17458.88,1793.58
HEAD OFFICE,2025-12-01,5025 - Agency Staff,22832.02,23065.57,-233.55
Eaton End School,2025-09-01,5025 - Agency Staff,68987.62,75796.99,-6809.37
Northwood Prep,2025-02-01,Operating Profit,25806.45,22756.01,3050.44
SHREWSBURY HIGH SCHOOL,2025-09-01,Total - Overheads,19602.43,19825.26,-222.83
Shrewsbury High School,2025-07-01,Total - Sales,28196.27,32345.18,-4148.91
HEAD OFFICE,2025-02-01,Total - Sales,35862.4,33526.97,2335.43
HEAD OFFICE,2025-02-01,Total - 5005 - Direct Staff  Cost,20045.49,17110.84,2934.65
Eaton End,2025-02-01,Operating Profit,34436.25,31366.72,3069.53
SHREWSBURY HIGH SCHOOL,2025-12-01,Total - Sales,17273.89,17207.56,66.33
Northwood Prep,2025-09-01,Total - Overheads,26823.03,29523.97,-2700.94
SHREWSBURY HIGH SCHOOL,2025-03-01,Total - Sales,25667.48,24659.39,1008.09
Riverside Academy,2025-10-01,Total - Overheads,29607.77,28527.03,1080.74
Eaton End School,2025-01-01,Total - Overheads,46625.44,45073.49,1551.95
Eaton End School,2025-11-01,Total - Overheads,36790.63,32688.75,4101.88
SHREWSBURY HIGH SCHOOL,2025-04-01,Total - Overheads,23967.99,27451.91,-3483.92
Head Office,2025-02-01,Operating Profit,31220.97,29502.2,1718.77
SHREWSBURY HIGH SCHOOL,2025-04-01,5025 - Agency Staff,21639.82,19725.43,1914.39
Riverside Academy,2025-04-01,5025 - Agency Staff,22043.94,19076.31,2967.63
Head Office,2025-12-01,Total - 5005 - Direct Staff  Cost,42963.74,39540.25,3423.49
Riverside Academy,2025-03-01,Total - Overheads,28907.05,25066.65,3840.4
SHREWSBURY HIGH SCHOOL,2025-05-01,Operating Profit,15262.62,15114.08,148.54
Eaton End,2025-12-01,5025 - Agency Staff,42283.68,46927.14,-4643.46
Northwood Prep,2025-09-01,5025 - Agency Staff,29380.66,31336.02,-1955.36
Northwood Prep,2025-06-01,Total - Overheads,14610.21,14025.05,585.16
Eaton End,2025-02-01,5025 - Agency Staff,35322.76,37791.88,-2469.12
Northwood Prep,2025-02-01,5025 - Agency Staff,34988.22,35424.9,-436.68
Northwood Prep,2025-06-01,Operating Profit,22269.93,21188.24,1081.69
Eaton End School,2025-06-01,5025 - Agency Staff,73424.33,80455.92,-7031.59
Eaton End,2025-09-01,Total - Sales,40088.51,41826.99,-1738.48
Northwood Prep,2025-04-01,5025 - Agency Staff,32303.29,28904.12,3399.17
Riverside Academy,2025-06-01,Operating Profit,21380.5,22455.47,-1074.97
Head Office,2025-04-01,Total - Overheads,20447.47,18327.34,2120.13
Eaton End,2025-01-01,Total - Sales,58339.11,64115.08,-5775.97
Riverside Academy,2025-02-01,Operating Profit,29819.29,33439.94,-3620.65
Northwood Prep,2025-01-01,Operating Profit,22113.75,24293.99,-2180.24
Shrewsbury High School,2025-03-01,Total - Overheads,27812.91,24535.02,3277.89
Eaton End,2025-03-01,Total - Sales,55978.87,63545.12,-7566.25
Northwood Prep,2025-12-01,Total - Overheads,33186.12,35172.17,-1986.05
Total,2025-01-01,Total - Sales,999999.99,888888.88,111111.11
Eaton End,2025-02-01,Total - Sales,63379.41,68337.82,-4958.41
Northwood Prep,2025-03-01,Total - 5005 - Direct Staff  Cost,17784.71,17737.54,47.17
Shrewsbury High School,2025-01-01,5025 - Agency Staff,31629.8,34304.62,-2674.82
Head Office,2025-09-01,Total - Sales,29103.57,32717.34,-3613.77
Northwood Prep,2025-04-01,Operating Profit,18729.77,21127.19,-2397.42
Eaton End,2025-08-01,Total - Sales,58372.81,57893.62,479.19
Riverside Academy,2025-05-01,5025 - Agency Staff,42009.93,40242.55,1767.38
HEAD OFFICE,2025-08-01,Total - 5005 - Direct Staff  Cost,39267.86,37204.44,2063.42
Shrewsbury High School,2025-01-01,Total - 5005 - Direct Staff  Cost,14416.53,15174.61,-758.08
Northwood Prep,2025-11-01,5025 - Agency Staff,17091.4,16508.28,583.12
Shrewsbury High School,2025-09-01,5025 - Agency Staff,22964.41,21619.57,1344.84
HEAD OFFICE,2025-05-01,Operating Profit,27552.88,24084.6,3468.28
Northwood Prep,2025-11-01,Total - 5005 - Direct Staff  Cost,29295.45,31309.23,-2013.78
Eaton End School,2025-03-01,Total - Overheads,59319.87,63081.96,-3762.09
Riverside Academy,2025-02-01,Total - 5005 - Direct Staff  Cost,26915.95,28760.45,-1844.5
Eaton End School,2025-12-01,Total - 5005 - Direct Staff  Cost,57755.85,51503.18,6252.67
Northwood Prep,2025-05-01,Total - Overheads,29661.68,26550.62,3111.06
Northwood Prep,2025-10-01,Total - Overheads,34534.86,36102.94,-1568.08
Head Office,2025-11-01,Operating Profit,17741.08,19670.75,-1929.67
Riverside Academy,2025-01-01,Operating Profit,44393.96,47932.08,-3538.12
Northwood Prep,2025-01-01,5025 - Agency Staff,19199.47,16458.67,2740.8
Northwood Prep,2025-02-01,Total - Sales,27431.56,30006.57,-2575.01
Riverside Academy,2025-10-01,Total - Sales,42774.84,45196.75,-2421.91
Northwood Prep,2025-07-01,Total - 5005 - Direct Staff  Cost,31157.24,30275.41,881.83
Riverside Academy,2025-07-01,Total - Overheads,27641.35,25090.79,2550.56
Riverside Academy,2025-05-01,Operating Profit,31375.32,31959.87,-584.55
Riverside Academy,2025-11-01,Total - Sales,22123.46,20030.17,2093.29
Riverside Academy,2025-04-01,Total - Overheads,47069.23,47776.98,-707.75
Shrewsbury High School,2025-11-01,Total - Sales,19029.31,20795.77,-1766.46
SHREWSBURY HIGH SCHOOL,2025-07-01,Operating Profit,15188.7,15496.12,-307.42
SHREWSBURY HIGH SCHOOL,2025-07-01,5025 - Agency Staff,19741.06,18600.29,1140.77
Riverside Academy,2025-02-01,5025 - Agency Staff,31058.63,28487.63,2571.0
Riverside Academy,2025-03-01,Operating Profit,50125.41,43030.44,7094.97
Head Office,2025-08-01,Total - Overheads,33586.22,34784.52,-1198.3
Riverside Academy,2025-08-01,Total - Overheads,38483.42,38272.63,210.79
SHREWSBURY HIGH SCHOOL,2025-03-01,Total - 5005 - Direct Staff  Cost,32724.72,28460.55,4264.17
Riverside Academy,2025-07-01,5025 - Agency Staff,32466.79,32342.12,124.67
Riverside Academy,2025-02-01,Total - Sales,33736.98,34071.01,-334.03
Head Office,2025-12-01,Total - Overheads,29081.09,31347.53,-2266.44
SHREWSBURY HIGH SCHOOL,2025-07-01,Total - 5005 - Direct Staff  Cost,29342.45,27875.15,1467.3
,2025-01-01,Total - Sales,12345.67,12345.67,0.0
Riverside Academy,2025-05-01,Total - Overheads,42017.74,44394.71,-2376.97
Eaton End,2025-08-01,Total - 5005 - Direct Staff  Cost,73928.29,63778.2,10150.09
HEAD OFFICE,2025-03-01,Total - Overheads,25139.0,21801.3,3337.7
Eaton End,2025-11-01,5025 - Agency Staff,49946.38,52497.1,-2550.72
Northwood Prep,2025-02-01,Total - Overheads,18831.86,19887.74,-1055.88
Shrewsbury High School,2025-02-01,5025 - Agency Staff,15156.96,16604.49,-1447.53
Shrewsbury High School,2025-08-01,Total - Sales,31964.34,27600.91,4363.43
HEAD OFFICE,2025-04-01,5025 - Agency Staff,41792.08,46354.34,-4562.26
Head Office,2025-07-01,Total - 5005 - Direct Staff  Cost,19785.97,20768.5,-982.53
Eaton End,2025-02-01,Total - 5005 - Direct Staff  Cost,32420.49,32379.56,40.93
Riverside Academy,2025-01-01,Total - Sales,28886.86,24847.27,4039.59
Shrewsbury High School,2025-02-01,Total - Overheads,29610.71,28024.44,1586.27
Head Office,2025-11-01,Total - 5005 - Direct Staff  Cost,34002.31,35415.66,-1413.35
Head Office,2025-11-01,Total - Overheads,26643.1,26956.74,-313.64
HEAD OFFICE,2025-04-01,Total - 5005 - Direct Staff  Cost,41815.7,40972.33,843.37
HEAD OFFICE,2025-03-01,Total - Sales,21655.02,21015.24,639.78
Shrewsbury High School,2025-11-01,Total - 5005 - Direct Staff  Cost,20045.31,22581.08,-2535.77
Riverside Academy,2025-03-01,Total - Sales,28288.22,24357.46,3930.76
Eaton End,2025-08-01,Operating Profit,69442.39,75169.93,-5727.54
Northwood Prep,2025-05-01,Total - 5005 - Direct Staff  Cost,30784.46,26615.58,4168.88
HEAD OFFICE,2025-09-01,Total - Overheads,25367.48,22462.64,2904.84
Riverside Academy,2025-09-01,Operating Profit,33758.98,38261.65,-4502.67
SHREWSBURY HIGH SCHOOL,2025-10-01,Total - Sales,14170.64,12638.56,1532.08
Shrewsbury High School,2025-10-01,Operating Profit,27752.9,29636.19,-1883.29
Riverside Academy,2025-11-01,Total - 5005 - Direct Staff  Cost,45137.86,50724.67,-5586.81
HEAD OFFICE,2025-06-01,Operating Profit,20540.17,21324.32,-784.15
HEAD OFFICE,2025-01-01,5025 - Agency Staff,37603.12,34426.25,3176.87
Shrewsbury High School,2025-11-01,5025 - Agency Staff,22325.61,19090.51,3235.1
Eaton End School,2025-04-01,Total - Sales,67905.14,68139.03,-233.89
Northwood Prep,2025-08-01,Total - 5005 - Direct Staff  Cost,34043.05,31111.77,2931.28
Eaton End,2025-07-01,Operating Profit,64461.4,69200.49,-4739.09
Eaton End School,2025-01-01,Total - 5005 - Direct Staff  Cost,33191.96,31972.39,1219.57
Northwood Prep,2025-10-01,Operating Profit,30236.99,28595.4,1641.59
Riverside Academy,2025-10-01,Operating Profit,24255.39,22956.62,1298.77
Northwood Prep,2025-05-01,Operating Profit,27167.81,23795.1,3372.71
Shrewsbury High School,2025-01-01,Total - Sales,23086.01,26099.42,-3013.41
SHREWSBURY HIGH SCHOOL,2025-11-01,Total - Overheads,23828.44,20857.29,2971.15
Northwood Prep,2025-07-01,Operating Profit,17101.96,18190.71,-1088.75
Eaton End School,2025-04-01,Operating Profit,33090.16,35384.44,-2294.28
Eaton End,2025-12-01,Operating Profit,72868.7,65959.38,6909.32
Head Office,2025-05-01,5025 - Agency Staff,35739.01,33208.98,2530.03
Eaton End,2025-01-01,Operating Profit,59965.88,61786.07,-1820.19
Riverside Academy,2025-07-01,Operating Profit,43057.77,44160.03,-1102.26
Northwood Prep,2025-10-01,Total - Sales,27150.53,27477.19,-326.66
SHREWSBURY HIGH SCHOOL,2025-10-01,Total - Overheads,29527.85,31938.11,-2410.26
Head Office,2025-03-01,Total - 5005 - Direct Staff  Cost,18004.44,15337.04,2667.4
Northwood Prep,2025-01-01,Total - Sales,24589.59,27986.53,-3396.94
HEAD OFFICE,2025-12-01,Operating Profit,25917.04,29706.62,-3789.58
Riverside Academy,2025-01-01,Total - 5005 - Direct Staff  Cost,42016.33,39316.72,2699.61
Northwood Prep,2025-02-01,Total - 5005 - Direct Staff  Cost,28567.31,27132.58,1434.73
SHREWSBURY HIGH SCHOOL,2025-08-01,Total - Overheads,18108.33,16555.96,1552.37
HEAD OFFICE,2025-01-01,Total - Sales,28796.83,30307.87,-1511.04
Northwood Prep,2025-07-01,Total - Overheads,24058.83,23691.62,367.21
Head Office,2025-10-01,5025 - Agency Staff,22524.78,23543.6,-1018.82
Riverside Academy,2025-09-01,Total - 5005 - Direct Staff  Cost,29400.79,30982.03,-1581.24
Riverside Academy,2025-12-01,Operating Profit,37325.3,39911.67,-2586.37
Eaton End School,2025-05-01,Operating Profit,53540.34,46435.24,7105.1
Eaton End School,2025-10-01,Total - Sales,62506.22,68264.08,-5757.86
Eaton End School,2025-02-01,Total - Overheads,60254.32,56918.74,3335.58
Northwood Prep,2025-09-01,Total - 5005 - Direct Staff  Cost,23612.03,24876.93,-1264.9
SHREWSBURY HIGH SCHOOL,2025-02-01,Operating Profit,19072.84,20598.19,-1525.35
Riverside Academy,2025-11-01,5025 - Agency Staff,29806.52,33819.93,-4013.41
Riverside Academy,2025-08-01,Operating Profit,27965.34,29721.66,-1756.32
Head Office,2025-10-01,Total - Overheads,25210.76,26556.93,-1346.17
Northwood Prep,2025-10-01,5025 - Agency Staff,21248.75,19009.13,2239.62
Riverside Academy,2025-04-01,Total - 5005 - Direct Staff  Cost,26207.64,22644.74,3562.9
Eaton End School,2025-08-01,5025 - Agency Staff,61476.97,65453.02,-3976.05
HEAD OFFICE,2025-03-01,5025 - Agency Staff,30097.16,28560.98,1536.18
Northwood Prep,2025-05-01,5025 - Agency Staff,16931.83,17981.46,-1049.63
Eaton End,2025-04-01,Total - 5005 - Direct Staff  Cost,61819.66,66750.15,-4930.49
Eaton End School,2025-07-01,5025 - Agency Staff,53503.86,47092.98,6410.88
Eaton End,2025-08-01,Total - Overheads,47693.16,50365.29,-2672.13
Eaton End,2025-09-01,Total - 5005 - Direct Staff  Cost,47902.82,45810.68,2092.14
Head Office,2025-02-01,5025 - Agency Staff,38743.08,39805.08,-1062.0
Riverside Academy,2025-12-01,Total - Sales,49852.56,49231.57,620.99
Northwood Prep,2025-03-01,Total - Sales,16046.85,15460.91,585.94
Head Office,2025-01-01,Total - Overheads,21031.72,21523.22,-491.5
Riverside Academy,2025-08-01,Total - 5005 - Direct Staff  Cost,23316.3,25407.26,-2090.96
Riverside Academy,2025-12-01,Total - Overheads,23274.67,20388.13,2886.54
Eaton End School,2025-10-01,Operating Profit,53093.28,47714.79,5378.49
Shrewsbury High School,2025-05-01,Total - Sales,23320.71,26593.6,-3272.89
Shrewsbury High School,2025-04-01,Total - Sales,31479.6,32821.66,-1342.06
Eaton End School,2025-06-01,Total - Sales,70125.91,60153.77,9972.14
SHREWSBURY HIGH SCHOOL,2025-08-01,5025 - Agency Staff,17495.48,19742.86,-2247.38
Riverside Academy,2025-08-01,Total - Sales,47605.78,53956.65,-6350.87
Northwood Prep,2025-09-01,Operating Profit,30346.63,29396.36,950.27
Northwood Prep,2025-05-01,Total - Sales,23823.03,24041.89,-218.86
HEAD OFFICE,2025-11-01,5025 - Agency Staff,33982.0,32411.87,1570.13
Riverside Academy,2025-07-01,Total - Sales,37100.29,34567.36,2532.93
Head Office,2025-10-01,Total - 5005 - Direct Staff  Cost,36342.21,32320.91,4021.3
Shrewsbury High School,2025-09-01,Total - 5005 - Direct Staff  Cost,26715.74,26780.29,-64.55
Riverside Academy,2025-09-01,Total - Sales,32139.82,36219.01,-4079.19
SHREWSBURY HIGH SCHOOL,2025-06-01,5025 - Agency Staff,21373.82,21832.06,-458.24
HEAD OFFICE,2025-04-01,Operating Profit,37067.5,38324.87,-1257.37
Head Office,2025-09-01,Operating Profit,43078.49,46402.97,-3324.48
Riverside Academy,2025-10-01,5025 - Agency Staff,41831.48,37750.8,4080.68
HEAD OFFICE,2025-05-01,Total - Overheads,39277.87,35654.12,3623.75
Northwood Prep,2025-04-01,Total - Overheads,15074.63,14501.37,573.26
Eaton End,2025-03-01,5025 - Agency Staff,72960.42,75596.7,-2636.28
Northwood Prep,2025-11-01,Total - Overheads,19231.25,20431.33,-1200.08
Head Office,2025-08-01,Total - Sales,34631.6,34005.23,626.37
Eaton End,2025-09-01,Total - Overheads,55750.18,54062.14,1688.04
Riverside Academy,2025-07-01,Total - 5005 - Direct Staff  Cost,45498.39,49439.52,-3941.13
HEAD OFFICE,2025-11-01,Total - Sales,20536.3,20863.18,-326.88
Head Office,2025-09-01,5025 - Agency Staff,30626.83,31614.41,-987.58
Northwood Prep,2025-04-01,Total - 5005 - Direct Staff  Cost,34166.12,34481.31,-315.19
Riverside Academy,2025-04-01,Total - Sales,36843.93,33410.28,3433.65
Northwood Prep,2025-12-01,Total - 5005 - Direct Staff  Cost,32453.11,33178.4,-725.29
Northwood Prep,2025-07-01,Total - Sales,35306.13,31329.95,3976.18
Head Office,2025-09-01,Total - 5005 - Direct Staff  Cost,30294.31,31317.07,-1022.76
Eaton End,2025-10-01,Total - Overheads,48062.4,45220.77,2841.63
Northwood Prep,2025-03-01,Operating Profit,27014.03,25488.22,1525.81
Eaton End,2025-10-01,Total - 5005 - Direct Staff  Cost,70683.37,61582.75,9100.62
Northwood Prep,2025-08-01,Total - Overheads,35591.85,39200.94,-3609.09
Northwood Prep,2025-03-01,Total - Overheads,26318.53,22687.39,3631.14
Riverside Academy,2025-06-01,5025 - Agency Staff,31407.7,33964.3,-2556.6
Shrewsbury High School,2025-12-01,Operating Profit,16477.84,16998.95,-521.11
SHREWSBURY HIGH SCHOOL,2025-08-01,Total - 5005 - Direct Staff  Cost,32438.54,31461.6,976.94
Eaton End,2025-07-01,Total - Overheads,59074.16,57560.29,1513.87
Eaton End School,2025-11-01,Total - Sales,43354.43,39965.45,3388.98
Riverside Academy,2025-01-01,Total - Overheads,47845.94,51181.06,-3335.12
Riverside Academy,2025-12-01,Total - 5005 - Direct Staff  Cost,30661.62,26326.24,4335.38
SHREWSBURY HIGH SCHOOL,2025-03-01,5025 - Agency Staff,20282.68,20027.06,255.62
Shrewsbury High School,2025-02-01,Total - Sales,29841.1,28091.68,1749.42
Northwood Prep,2025-01-01,Total - Overheads,24196.36,27450.89,-3254.53
Northwood Prep,2025-11-01,Total - Sales,23450.32,23245.12,205.2
Eaton End,2025-12-01,Total - Overheads,58070.55,66406.74,-8336.19
Northwood Prep,2025-06-01,5025 - Agency Staff,20059.15,20899.36,-840.21
Northwood Prep,2025-08-01,Operating Profit,19558.02,22485.55,-2927.53
Head Office,2025-04-01,Total - Sales,31740.45,36475.32,-4734.87
Northwood Prep,2025-03-01,5025 - Agency Staff,34971.01,32145.91,2825.1
Head Office,2025-07-01,5025 - Agency Staff,33183.39,36196.09,-3012.7
Riverside Academy,2025-11-01,Operating Profit,25463.75,26107.39,-643.64
Riverside Academy,2025-10-01,Total - 5005 - Direct Staff  Cost,39400.85,44396.49,-4995.64
Eaton End School,2025-11-01,Total - 5005 - Direct Staff  Cost,31959.28,32403.11,-443.83
Northwood Prep,2025-06-01,Total - Sales,14947.3,14909.22,38.08
Shrewsbury High School,2025-02-01,Total - 5005 - Direct Staff  Cost,13523.05,14861.6,-1338.55
Northwood Prep,2025-12-01,Total - Sales,29190.41,27306.21,1884.2
SHREWSBURY HIGH SCHOOL,2025-06-01,Total - Overheads,19196.11,21587.68,-2391.57
